Station,Location,SubLocation,Channel,Scale Factor,Scale Bias,Start Date,End Date
EYWM,50,,X,,37683.0 * 0x8f / 255,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
EYWM,50,,Z,,-37618.0 * 0x6d / 255,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
